Gemeente;Datum;Melding;Werkvoorraad_In_Behandeling;Ontvangst;Planning_opname;Ingepland_voor_opname;Opleveren_rapport_bewoner;Rapport_bij_bewoner;Voorbereiden_Besluit;Beschikt;AFW;BEH;Afgehandeld_totaal;GeenReactieAdviesrapport;AkkoordAdviesrapport;IZS_Adviesrapport;AOS;AOSGegrond;MeldingCVW;MeldingVoorWesterwijtwerd;MeldingNaWesterwijtwerd;Fysieke Schade;Wettelijke Rente;Bijkomende Kosten;Stuwmeer;Sum_Verleend;a_0-1000;b_1000-4000;c_4000-10000;d_GT_10000;Bezwaar_Totaal;Bezwaar_InBehandeling;Bezwaar_Afgehandeld;Bezwaar_Gegrond;Bezwaar_DeelsGegrond;Bezwaar_Ongegrond;Bezwaar_DoorgezetSchadeproces;Bezwaar_NietOntvankelijk;Bezwaar_Ingetrokken;LTHalfJaar_Werkvoorraad;LTHalfJaar_Ontvangst;LTHalfJaar_Plan_Opname;LTHalfJaar_OpleverenRapport;LTHalfJaar_VoorbBesluit;Half_1Jaar_Werkvoorraad;Half_1Jaar_Ontvangst;Half_1Jaar_PlanOpname;Half_1Jaar_OplRapport;Half_1Jaar_VoorberBesluit;Jaar1_2_Werkvoorraad;Jaar1_2_Ontvangst;Jaar1_2_PlanOpname;Jaar1_2_OplRapport;Jaar1_2_VoorberBesluit;Jaar2Plus_Werkvoorraad;Jaar2Plus_Ontvangst;Jaar2Plus_PlanOpname;Jaar2Plus_OplrapportBew;Jaar2Plus_VoorbBesluit;Opnames;Nulmeting;Rapportage;Rapportage_Nulmeting;Opnames_Aannemersvariant;Opnames_Digitaal;Opnames_smr;Opnames_Regulier;Opnames_Woco;Opnames_Opnemersvariant;Productie_OntvangstAnalyse;Productie_GereedVoorInplanning;Productie_OpleverenRapport;Productie_RapportBewoner;Productie_VoorbereidenBesluit;Specials_Melding;Specials_Wv_In_Beh;Specials_Ontvangst;Specials_PlanningOpname;Specials_OplevRapBewoner;Specials_VoorbereidenBesluit;Specials_AfgehandeldTotaal;Specials_Meldingen_Agro;Specials_Wv_beh_Agro;Specials_Ontvangst_Agro;Specials_PlanningOpname_Agro;Specials_OplevRapBewoner_Agro;Specials_VoorberBesluit_Agro;Specials_Afgehandeld_Agro;Specials_Meldingen_Erfgoed;Specials_Wv_beh_Erfgoed;Specials_Ontvangst_Erfgoed;Specials_PlanningOpname_Erfgoed;Specials_OplevRapBewoner_Erfgoed;Specials_VoorberBesluit_Erfgoed;Specials_Afgehandeld_Erfgoed;Specials_Meldingen_MKB;Specials_Wv_beh_MKB;Specials_Ontvangst_MKB;Specials_PlanningOpname_MKB;Specials_OplevRapBewoner_MKB;Specials_VoorberBesluit_MKB;Specials_Afgehandeld_MKB;Specials_Meldingen_Overig;Specials_Wv_beh_Overig;Specials_Ontvangst_Overig;Specials_PlanningOpname_Overig;Specials_OplevRapBewoner_Overig;Specials_VoorberBesluit_Overig;Specials_Afgehandeld_Overig;VERWACHT_AANTAL_DAGEN_DLT_MELDING_BESLUIT;PERCENTAGE_AANTAL_DAGEN_DLT_TOTAAL_ONDER181_VS2500;MEDIAAN_AANTAL_DAGEN_DLT_TOTAAL_VS2500
Midden-Groningen;11-10-2021;14203;2214;502;212;172;570;165;513;10852;572;10280;11989;2916;5079;2149;;;17;31;2166;€ 67.633.073;€ 1.209.518;€ 6.409.088;€ 6.797.000;€ 82.097.631;460;2638;4710;2559;512;179;333;51;118;95;0;34;35;1270;320;134;399;208;626;138;43;133;221;230;41;30;28;61;88;3;5;10;23;11270;736;10510;836;1268;110;556;4443;2046;2116;12057;10862;11311;10178;10799;930;244;82;19;44;46;686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noardeast-Fryslân;11-10-2021;237;124;52;26;1;16;6;22;109;19;90;113;25;66;22;;;;;124;€ 680.676;€ 8.293;€ 44.713;€ 41.000;€ 774.682;1;23;40;28;6;2;4;0;0;3;0;1;0;56;32;14;6;2;53;11;11;10;16;13;9;1;;3;2;;;;1;155;5;134;6;12;1;2;124;;5;194;152;140;115;109;45;35;27;1;2;2;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noordenveld;11-10-2021;4226;1746;471;346;57;224;113;507;2363;163;2200;2480;521;1719;470;;;;1;1745;€ 22.504.600;€ 250.846;€ 1.095.407;€ 372.000;€ 24.223.257;21;316;925;945;87;48;39;6;6;22;0;5;0;831;212;284;141;92;624;156;54;64;290;282;103;8;19;123;9;;;;2;3320;47;3014;55;504;20;32;1408;7;1124;3768;3299;3069;2724;2364;339;160;38;16;39;47;179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oldambt;11-10-2021;10802;2302;836;363;90;282;148;550;8150;787;7363;8500;1438;5357;1335;;;7;5;2290;€ 64.108.892;€ 792.628;€ 3.622.527;€ 1.977.000;€ 70.508.814;132;1499;3299;2484;421;192;230;25;44;106;3;33;18;911;260;252;159;143;794;267;74;78;299;564;307;35;39;102;33;2;2;6;6;9137;241;8741;269;1294;81;132;3943;106;3237;9907;9076;8999;8190;8168;797;328;110;85;60;34;469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ooststellingwerf;11-10-2021;134;104;36;;1;;;67;26;17;9;30;5;7;6;;;;;104;€ 65.335;€ 533;€ 3.010;€ 5.000;€ 73.878;0;;8;1;3;2;1;0;0;1;0;0;0;17;17;;;;27;18;;;8;60;1;;;59;;;;;;36;1;20;1;2;1;0;18;;15;66;38;21;18;26;17;14;11;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opsterland;11-10-2021;15;7;3;;;;;4;7;7;;8;;;;;;;;7;;;;;;0;;;;;;;;;;;;;2;2;;;;2;1;;;1;3;;;;3;;;;;;1;;0;0;;;0;1;;;8;2;0;;7;5;4;3;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pekela;11-10-2021;2503;1206;311;158;23;46;26;634;1248;180;1068;1297;231;820;285;;;;2;1204;€ 9.736.227;€ 106.701;€ 526.627;€ 145.000;€ 10.514.658;8;216;458;395;81;33;48;4;8;24;0;7;5;188;100;38;22;13;253;80;50;10;93;755;131;70;14;519;10;;;;9;1725;14;1499;13;217;13;15;891;10;545;2118;1736;1512;1350;1247;141;77;18;14;4;38;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roermond;11-10-2021;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rotterdam;11-10-2021;1;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;1;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schiermonnikoog;11-10-2021;3;2;2;;;;;;1;1;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;1;;0;;1;3;2;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
